VideoID,480p,1080p,Alt,Button,znám?,YouTubeURL,InstagramURL,FacebookURL,type,Figury,Video,Datum,notes,source,,
1,videos/1_360.mp4,videos/1.mp4,videos/2.mp4,Peťák a Renča,neznám,,,,Choreo,"Pinza, Cambré",Peťák a Renča,,,nofeet,,
2,videos/3_360.mp4,videos/3.mp4,videos/4.mp4,Peťák a Renča,potřebuju zlepšit,,,,Choreo,"Rompo Delante, Culito, X",Peťák a Renča,,,nofeet,,
3,videos/5_360.mp4,videos/5.mp4,videos/6.mp4,Peťák a Renča,znám,,,,Choreo,"Yo Yo, Wave, Headroll",Peťák a Renča,,,nofeet,,
4,videos/7_360.mp4,videos/7.mp4,videos/8.mp4,Peťák a Renča,neznám,,,,Choreo,,Peťák a Renča,,,nofeet,,
5,videos/9_360.mp4,videos/9.mp4,videos/10.mp4,Peťák a Renča,neznám,,,,Choreo,,Peťák a Renča,,,nofeet,,
6,videos/11_360.mp4,videos/11.mp4,,Peťák a Renča,neznám,,,,Choreo,,Peťák a Renča,,,nofeet,,
7,videos/12_360.mp4,videos/12.mp4,videos/13.mp4,Peťák a Renča,neznám,,,,Choreo,,Peťák a Renča,,Tom a Kači,nofeet,,
8,videos/14_360.mp4,videos/14.mp4,videos/15.mp4,Peťák a Renča,potřebuju zlepšit,,,,Choreo,,Peťák a Renča,,,nofeet,,znám
9,videos/16_360.mp4,videos/16.mp4,videos/17.mp4,Peťák a Renča,neznám,,,,Choreo,,Peťák a Renča,,,nofeet,,neznám
10,videos/18_360.mp4,videos/18.mp4,videos/19.mp4,Peťák a Renča,neznám,,,,Choreo,,Peťák a Renča,,,nofeet,,potřebuju zlepšit
11,videos/20_360.mp4,videos/20.mp4,videos/21.mp4,Peťák a Renča,neznám,,,,Choreo,,Peťák a Renča,,,nofeet,,
12,videos/22_360.mp4,videos/22.mp4,videos/23.mp4,Peťák a Renča,neznám,,,,Choreo,,Peťák a Renča,,,nofeet,,
13,videos/24_360.mp4,videos/24.mp4,videos/25.mp4,Peťák a Renča,neznám,,,,Choreo,,Peťák a Renča,,,nofeet,,
14,videos/26_360.mp4,videos/26.mp4,,Peťák a Renča,znám,,,,Figure,Diagonal,Peťák a Renča,,,nofeet,,
15,videos/27_360.mp4,videos/27.mp4,videos/28.mp4,Peťák a Renča,neznám,,,,Choreo,,Peťák a Renča,,,nofeet,,
16,videos/29_360.mp4,videos/29.mp4,,Peťák a Renča,znám,,,,Choreo,,Peťák a Renča,,,nofeet,,
17,videos/30_360.mp4,videos/30.mp4,,Peťák a Renča,znám,,,,Figure,"Shadow Position,",Peťák a Renča,,,nofeet,,
18,videos/31_360.mp4,videos/31.mp4,videos/32.mp4,Peťák a Renča,neznám,,,,Choreo,,Peťák a Renča,,,nofeet,,
